geogkey	continent	country	countrycode	stateprovince	county	municipality	waterbody	islandgroup	island	standard	vetted	error	misplaced	unresolved	source	comment
|[CANADA]||[PINCHER CREEK]|||||	North America	Canada	CA	Alberta	Census Division 3	Pincher Creek				North America|Canada|CA|Alberta|Census Division 3|Pincher Creek|||	1			0		
|[CANADA]|||||||	North America	Canada	CA							North America|Canada|CA||||||	1			0		
|[CANADA}||[QUEBEC]|||||	North America	Canada	CA	Québec						North America|Canada|CA|Québec|||||	1			0		
|[CENTRAL AFRICA]|||||||	Africa									Africa||||||||	1			0		
|[CENTRAL AMERICA]|||||||	North America									North America||||||||	1			0		
|[CHAD OR SOMALIA]|||||||	Africa									Africa||||||||	1			0		
|[CHILE OR ARGENTINA]|||||||	South America									South America||||||||	1			0		
|[CHILE/ARGENTINA]|||||||	South America	Argentina, Chile								South America|Argentina, Chile|||||||	1			0		
|[CHILE]|||||||	South America	Chile	CL							South America|Chile|CL||||||	1			0		
|[CHINA/MONGOLIA]|||||||	Asia	China, Mongolia								Asia|China, Mongolia|||||||	1			0		
|[CHINA]|||||||	Asia	China	CN							Asia|China|CN||||||	1			0		
|[COLOMBIA]|||||||	South America	Colombia	CO							South America|Colombia|CO||||||	1			0		
|[COLOMBIA]|||||||	South America	Colombia	CO							South America|Colombia|CO||||||	1			0		
|[CONGO]|||||||	Africa	Congo	CG							Africa|Congo|CG||||||	1			0		
|[COSTA RICA]|||||PACIFIC OCEAN||	North America	Costa Rica	CR							North America|Costa Rica|CR||||||	1			0		
|[CUBA]|||||||	North America	Cuba	CU							North America|Cuba|CU||||||	1			0		
|[CZECH REPUBLIC] [CZECHOSLOVAKIA]|||||||	Europe	Czech Republic	CZ							Europe|Czech Republic|CZ||||||	1			0		
|[CZECH REPUBLIC] CZECHOSLOVAKIA|||||||	Europe	Czech Republic	CZ							Europe|Czech Republic|CZ||||||	1			0		
|[CZECH REPUBLIC]; CZECHOSLOVAKIA|||||||	Europe	Czech Republic	CZ							Europe|Czech Republic|CZ||||||	1			0		
|[CZECH REPUBLIC]|||||||	Europe	Czech Republic	CZ							Europe|Czech Republic|CZ||||||	1			0		
|[CZECHOSLOVAKIA]|||||||	Europe									Europe||||||||	1			1		
|[DOMINICAN REPUBLIC]|||||||	North America	Dominican Republic	DO					Greater Antilles		North America|Dominican Republic|DO|||||Greater Antilles|	1			0		
|[E. AFRICA]|||||||	Africa									Africa||||||||	1			0		
|[EAST AFRICA]|||||||	Africa									Africa||||||||	1			0		
|[ECUADOR]||[GALPAGOS]|||PACIFIC OCEAN||GALPAGOS IDS	South America	Ecuador	EC	Galápagos			Pacific Ocean	Galápagos		South America|Ecuador|EC|Galápagos|||Pacific Ocean|Galápagos|	1			0		
|[ECUADOR]|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1			0		
|[ENGLAND; U.K OR GERMANY OR PORTUGAL]|||||||	Europe									Europe||||||||	1			1		
|[ENGLAND]||HANTS|||||	Europe	United Kingdom	GB	England	South East England	Hampshire		British Isles		Europe|United Kingdom|GB|England|South East England|Hampshire||British Isles|	1			0		
|[EQUATORIAL GUINEA]|||||||	Africa	Equatorial Guinea	GQ							Africa|Equatorial Guinea|GQ||||||	1			0		
|[FRANCE OR SPAIN]|||||||	Europe									Europe||||||||	1			0		
|[FRANCE; ATLANTIC OCEAN]|||||||	Europe	France	FR				Northern Atlantic Ocean			Europe|France|FR||||Northern Atlantic Ocean||	1			0		
|[FRANCE]|||||||	Europe	France	FR							Europe|France|FR||||||	1			0		
|[FRENCH GUIANA]|||||||	South America	French Guiana	GF							South America|French Guiana|GF||||||	1			0		
|[FRENCH] GUIANA|||||||	South America	French Guiana	GF							South America|French Guiana|GF||||||	1			0		
|[FROM EITHER ATLANTIC OR INDIAN OCEAN]|||||||										||||||||	1			1		
|[GAMBIA / SENEGAL]|||||||	Africa	Gambia, Senegal								Africa|Gambia, Senegal|||||||	1			0		
